,Crop,N,P,K,pH
721,Pumpkin,80,50,30,5.64
722,Radish,25,100,50,6.14
723,Olive,100,60,30,6.64
724,Sweet Potato,90,20,120,5.14
725,Fenugreek Leaf(methi),30,25,40,6.14
726,Spinach,60,60,50,6.14
727,Ridgegourd,90,50,20,6.64
728,Gooseberry(Amla),20,50,20,4.64
729,Jambun(Syzygium cumini),10,10,10,4.34
730,Ziziphus mauritiana(Bor),20,10,10,6.14
731,Garcinia indica(kokam),40,25,50,4.34
732,Tamarind,20,15,25,3.24
733,Tapioca(Suran),50,50,50,5.64
734,Garlic,50,10,60,5.64
735,Lemon,20,10,10,3.24
736,Tomato,100,40,90,6.14
737,Ash Gourd,60,10,30,5.64
738,Pineapple,160,40,120,6.64
739,Pomegranate,20,10,40,5.64
740,Banana,100,75,50,6.64
741,Mango,20,20,30,5.14
742,Grapes,20,125,200,4.14
743,Jackfruit,75,40,50,5.14
744,Guava,50,50,50,5.14
745,Water Melon,100,10,50,5.64
746,Musk Melon,100,10,50,5.64
747,Apricot,40,50,25,6.64
748,Apple,20,125,200,6.64
749,Chickoo,40,30,60,5.14
750,Custard apple,40,20,40,6.64
751,Dates,40,125,20,6.64
752,Figs,20,60,20,5.14
753,Orange,20,10,10,4.14
754,Papaya,50,50,50,6.14
755,Aniseed,100,50,20,5.14
756,Asafoetida,90,40,20,5.14
757,Bay Leaf,100,50,25,5.14
758,Black Pepper,100,60,50,5.14
759,Cardamom,75,75,150,5.14
760,Cinnamon,20,20,25,5.14
761,Cloves,20,20,60,5.14
762,Jaiphal(Nutmeg),20,20,60,5.14
763,Ginger,40,50,20,5.14
764,Turmeric,25,60,100,5.14
765,Cashewnuts,70,40,60,6.14
766,Raisins,60,30,30,6.14
767,Coconut,20,10,30,5.14
768,Almond Nut,70,20,10,6.14
769,Arecanut,100,40,140,6.14
770,Pistachio Nut,90,20,20,6.14
771,Lemon Grass,25,40,40,5.64
772,Cotton,120,40,20,5.64
773,Jute,80,40,40,5.64
774,Coffee,100,20,30,5.64
775,Sunflower,50,60,30,5.64
776,Rice,80,40,40,5.66
777,Jowar(Sorghum),80,40,40,5.66
778,Barley(JAV),70,40,45,5.66
779,Maize,80,40,20,5.66
780,Ragi( naachnnii),50,40,20,5.66
781,Chickpeas(Channa),40,60,80,5.66
782,French Beans(Farasbi),90,125,60,5.16
783,Fava beans (Papdi - Val),90,125,60,5.16
784,Lima beans(Pavta),40,60,20,5.16
785,Cluster Beans(Gavar),25,50,25,5.16
786,Soyabean,20,60,20,5.66
787,Black eyed beans( chawli),20,60,20,5.66
788,Kidney beans,20,60,20,5.66
789,pigeon peas(Toor Dal),20,60,20,5.66
790,Moth bean(Matki),20,40,20,5.66
791,Mung beans,20,40,20,5.66
792,Green Peas,40,35,55,6.16
793,Horse Gram(kulthi),20,60,20,6.16
794,Black Gram,40,60,20,5.16
795,Rapeseed (Mohri),50,40,20,5.16
796,Coriander seeds,90,20,20,6.66
797,Mustard seeds,100,30,15,6.66
798,sesame seed,30,15,30,6.66
799,Cumin seeds,90,60,20,6.66
800,Lentils(Masoor Dal),20,60,20,5.66
801,Brinjal,80,15,40,6.66
802,Beetroot,120,50,100,5.66
803,Bitter Gourd,60,10,20,6.66
804,Bottle Gourd,100,50,50,6.66
805,Capsicum,100,20,60,6.66
806,Cabbage,100,65,70,6.66
807,Carrot,40,45,60,5.66
808,Cauliflower,80,70,50,6.66
809,Cucumber,60,60,85,6.66
810,Coriander leaves,10,20,20,6.66
811,Curry leaves,20,20,20,6.66
812,Drumstick – moringa,40,20,10,6.66
813,Chili,120,20,80,6.66
814,Lady Finger,80,10,40,6.66
815,Mushroom,100,50,60,6.66
816,Onion,120,60,65,6.16
817,Potato,180,60,90,5.16
818,Pumpkin,80,50,30,5.66
819,Radish,25,100,50,6.16
820,Olive,100,60,30,6.66
821,Sweet Potato,90,20,120,5.16
822,Fenugreek Leaf(methi),30,25,40,6.16
823,Spinach,60,60,50,6.16
824,Ridgegourd,90,50,20,6.66
825,Gooseberry(Amla),20,50,20,4.66
826,Jambun(Syzygium cumini),10,10,10,4.36
827,Ziziphus mauritiana(Bor),20,10,10,6.16
828,Garcinia indica(kokam),40,25,50,4.36
829,Tamarind,20,15,25,3.26
830,Tapioca(Suran),50,50,50,5.66
831,Garlic,50,10,60,5.66
832,Lemon,20,10,10,3.26
833,Tomato,100,40,90,6.16
834,Ash Gourd,60,10,30,5.66
835,Pineapple,160,40,120,6.66
836,Pomegranate,20,10,40,5.66
837,Banana,100,75,50,6.66
838,Mango,20,20,30,5.16
839,Grapes,20,125,200,4.16
840,Jackfruit,75,40,50,5.16
841,Guava,50,50,50,5.16
842,Water Melon,100,10,50,5.66
843,Musk Melon,100,10,50,5.66
844,Apricot,40,50,25,6.66
845,Apple,20,125,200,6.66
846,Chickoo,40,30,60,5.16
847,Custard apple,40,20,40,6.66
848,Dates,40,125,20,6.66
849,Figs,20,60,20,5.16
850,Orange,20,10,10,4.16
851,Papaya,50,50,50,6.16
852,Aniseed,100,50,20,5.16
853,Asafoetida,90,40,20,5.16
854,Bay Leaf,100,50,25,5.16
855,Black Pepper,100,60,50,5.16
856,Cardamom,75,75,150,5.16
857,Cinnamon,20,20,25,5.16
858,Cloves,20,20,60,5.16
859,Jaiphal(Nutmeg),20,20,60,5.16
860,Ginger,40,50,20,5.16
861,Turmeric,25,60,100,5.16
862,Cashewnuts,70,40,60,6.16
863,Raisins,60,30,30,6.16
864,Coconut,20,10,30,5.16
865,Almond Nut,70,20,10,6.16
866,Arecanut,100,40,140,6.16
867,Pistachio Nut,90,20,20,6.16
868,Lemon Grass,25,40,40,5.66
869,Cotton,120,40,20,5.66
870,Jute,80,40,40,5.66
871,Coffee,100,20,30,5.66
872,Sunflower,50,60,30,5.66
873,Rice,80,40,40,5.68
874,Jowar(Sorghum),80,40,40,5.68
875,Barley(JAV),70,40,45,5.68
876,Maize,80,40,20,5.68
877,Ragi( naachnnii),50,40,20,5.68
878,Chickpeas(Channa),40,60,80,5.68
879,French Beans(Farasbi),90,125,60,5.18
880,Fava beans (Papdi - Val),90,125,60,5.18
881,Lima beans(Pavta),40,60,20,5.18
882,Cluster Beans(Gavar),25,50,25,5.18
883,Soyabean,20,60,20,5.68
884,Black eyed beans( chawli),20,60,20,5.68
885,Kidney beans,20,60,20,5.68
886,pigeon peas(Toor Dal),20,60,20,5.68
887,Moth bean(Matki),20,40,20,5.68
888,Mung beans,20,40,20,5.68
889,Green Peas,40,35,55,6.18
890,Horse Gram(kulthi),20,60,20,6.18
891,Black Gram,40,60,20,5.18
892,Rapeseed (Mohri),50,40,20,5.18
893,Coriander seeds,90,20,20,6.68
894,Mustard seeds,100,30,15,6.68
895,sesame seed,30,15,30,6.68
896,Cumin seeds,90,60,20,6.68
897,Lentils(Masoor Dal),20,60,20,5.68
898,Brinjal,80,15,40,6.68
899,Beetroot,120,50,100,5.68
900,Bitter Gourd,60,10,20,6.68
901,Bottle Gourd,100,50,50,6.68
902,Capsicum,100,20,60,6.68
903,Cabbage,100,65,70,6.68
904,Carrot,40,45,60,5.68
905,Cauliflower,80,70,50,6.68
906,Cucumber,60,60,85,6.68
907,Coriander leaves,10,20,20,6.68
908,Curry leaves,20,20,20,6.68
909,Drumstick – moringa,40,20,10,6.68
910,Chili,120,20,80,6.68
911,Lady Finger,80,10,40,6.68
912,Mushroom,100,50,60,6.68
913,Onion,120,60,65,6.18
914,Potato,180,60,90,5.18
915,Pumpkin,80,50,30,5.68
916,Radish,25,100,50,6.18
917,Olive,100,60,30,6.68
918,Sweet Potato,90,20,120,5.18
919,Fenugreek Leaf(methi),30,25,40,6.18
920,Spinach,60,60,50,6.18
921,Ridgegourd,90,50,20,6.68
922,Gooseberry(Amla),20,50,20,4.68
923,Jambun(Syzygium cumini),10,10,10,4.38
924,Ziziphus mauritiana(Bor),20,10,10,6.18
925,Garcinia indica(kokam),40,25,50,4.38
926,Tamarind,20,15,25,3.28
927,Tapioca(Suran),50,50,50,5.68
928,Garlic,50,10,60,5.68
929,Lemon,20,10,10,3.28
930,Tomato,100,40,90,6.18
931,Ash Gourd,60,10,30,5.68
932,Pineapple,160,40,120,6.68
933,Pomegranate,20,10,40,5.68
934,Banana,100,75,50,6.68
935,Mango,20,20,30,5.18
936,Grapes,20,125,200,4.18
937,Jackfruit,75,40,50,5.18
938,Guava,50,50,50,5.18
939,Water Melon,100,10,50,5.68
940,Musk Melon,100,10,50,5.68
941,Apricot,40,50,25,6.68
942,Apple,20,125,200,6.68
943,Chickoo,40,30,60,5.18
944,Custard apple,40,20,40,6.68
945,Dates,40,125,20,6.68
946,Figs,20,60,20,5.18
947,Orange,20,10,10,4.18
948,Papaya,50,50,50,6.18
949,Aniseed,100,50,20,5.18
950,Asafoetida,90,40,20,5.18
951,Bay Leaf,100,50,25,5.18
952,Black Pepper,100,60,50,5.18
953,Cardamom,75,75,150,5.18
954,Cinnamon,20,20,25,5.18
955,Cloves,20,20,60,5.18
956,Jaiphal(Nutmeg),20,20,60,5.18
957,Ginger,40,50,20,5.18
958,Turmeric,25,60,100,5.18
959,Cashewnuts,70,40,60,6.18
960,Raisins,60,30,30,6.18
961,Coconut,20,10,30,5.18
962,Almond Nut,70,20,10,6.18
963,Arecanut,100,40,140,6.18
964,Pistachio Nut,90,20,20,6.18
965,Lemon Grass,25,40,40,5.68
966,Cotton,120,40,20,5.68
967,Jute,80,40,40,5.68
968,Coffee,100,20,30,5.68
969,Sunflower,50,60,30,5.68
970,Rice,80,40,40,5.48
971,Jowar(Sorghum),80,40,40,5.48
972,Barley(JAV),70,40,45,5.48
973,Maize,80,40,20,5.48
974,Ragi( naachnnii),50,40,20,5.48
975,Chickpeas(Channa),40,60,80,5.48
976,French Beans(Farasbi),90,125,60,4.98
977,Fava beans (Papdi - Val),90,125,60,4.98
978,Lima beans(Pavta),40,60,20,4.98
979,Cluster Beans(Gavar),25,50,25,4.98
980,Soyabean,20,60,20,5.48
981,Black eyed beans( chawli),20,60,20,5.48
982,Kidney beans,20,60,20,5.48
983,pigeon peas(Toor Dal),20,60,20,5.48
984,Moth bean(Matki),20,40,20,5.48
985,Mung beans,20,40,20,5.48
986,Green Peas,40,35,55,5.98
987,Horse Gram(kulthi),20,60,20,5.98
988,Black Gram,40,60,20,4.98
989,Rapeseed (Mohri),50,40,20,4.98
990,Coriander seeds,90,20,20,6.48
991,Mustard seeds,100,30,15,6.48
992,sesame seed,30,15,30,6.48
993,Cumin seeds,90,60,20,6.48
994,Lentils(Masoor Dal),20,60,20,5.48
995,Brinjal,80,15,40,6.48
996,Beetroot,120,50,100,5.48
997,Bitter Gourd,60,10,20,6.48
998,Bottle Gourd,100,50,50,6.48
999,Capsicum,100,20,60,6.48
1000,Cabbage,100,65,70,6.48
1001,Carrot,40,45,60,5.48
1002,Cauliflower,80,70,50,6.48
1003,Cucumber,60,60,85,6.48
1004,Coriander leaves,10,20,20,6.48
1005,Curry leaves,20,20,20,6.48
1006,Drumstick – moringa,40,20,10,6.48
1007,Chili,120,20,80,6.48
1008,Lady Finger,80,10,40,6.48
1009,Mushroom,100,50,60,6.48
1010,Onion,120,60,65,5.98
1011,Potato,180,60,90,4.98
1012,Pumpkin,80,50,30,5.48
1013,Radish,25,100,50,5.98
1014,Olive,100,60,30,6.48
1015,Sweet Potato,90,20,120,4.98
1016,Fenugreek Leaf(methi),30,25,40,5.98
1017,Spinach,60,60,50,5.98
1018,Ridgegourd,90,50,20,6.48
1019,Gooseberry(Amla),20,50,20,4.48
1020,Jambun(Syzygium cumini),10,10,10,4.1800000000000015
1021,Ziziphus mauritiana(Bor),20,10,10,5.98
1022,Garcinia indica(kokam),40,25,50,4.1800000000000015
1023,Tamarind,20,15,25,3.08
1024,Tapioca(Suran),50,50,50,5.48
1025,Garlic,50,10,60,5.48
1026,Lemon,20,10,10,3.08
1027,Tomato,100,40,90,5.98
1028,Ash Gourd,60,10,30,5.48
1029,Pineapple,160,40,120,6.48
1030,Pomegranate,20,10,40,5.48
1031,Banana,100,75,50,6.48
1032,Mango,20,20,30,4.98
1033,Grapes,20,125,200,3.98
1034,Jackfruit,75,40,50,4.98
1035,Guava,50,50,50,4.98
1036,Water Melon,100,10,50,5.48
1037,Musk Melon,100,10,50,5.48
1038,Apricot,40,50,25,6.48
1039,Apple,20,125,200,6.48
1040,Chickoo,40,30,60,4.98
1041,Custard apple,40,20,40,6.48
1042,Dates,40,125,20,6.48
1043,Figs,20,60,20,4.98
1044,Orange,20,10,10,3.98
1045,Papaya,50,50,50,5.98
1046,Aniseed,100,50,20,4.98
1047,Asafoetida,90,40,20,4.98
1048,Bay Leaf,100,50,25,4.98
1049,Black Pepper,100,60,50,4.98
1050,Cardamom,75,75,150,4.98
1051,Cinnamon,20,20,25,4.98
1052,Cloves,20,20,60,4.98
1053,Jaiphal(Nutmeg),20,20,60,4.98
1054,Ginger,40,50,20,4.98
1055,Turmeric,25,60,100,4.98
1056,Cashewnuts,70,40,60,5.98
1057,Raisins,60,30,30,5.98
1058,Coconut,20,10,30,4.98
1059,Almond Nut,70,20,10,5.98
1060,Arecanut,100,40,140,5.98
1061,Pistachio Nut,90,20,20,5.98
1062,Lemon Grass,25,40,40,5.48
1063,Cotton,120,40,20,5.48
1064,Jute,80,40,40,5.48
1065,Coffee,100,20,30,5.48
1066,Sunflower,50,60,30,5.48
1067,Rice,80,40,40,5.46
1068,Jowar(Sorghum),80,40,40,5.46
1069,Barley(JAV),70,40,45,5.46
1070,Maize,80,40,20,5.46
1071,Ragi( naachnnii),50,40,20,5.46
1072,Chickpeas(Channa),40,60,80,5.46
1073,French Beans(Farasbi),90,125,60,4.96
1074,Fava beans (Papdi - Val),90,125,60,4.96
1075,Lima beans(Pavta),40,60,20,4.96
1076,Cluster Beans(Gavar),25,50,25,4.96
1077,Soyabean,20,60,20,5.46
1078,Black eyed beans( chawli),20,60,20,5.46
1079,Kidney beans,20,60,20,5.46
1080,pigeon peas(Toor Dal),20,60,20,5.46
1081,Moth bean(Matki),20,40,20,5.46
1082,Mung beans,20,40,20,5.46
1083,Green Peas,40,35,55,5.96
1084,Horse Gram(kulthi),20,60,20,5.96
1085,Black Gram,40,60,20,4.96
1086,Rapeseed (Mohri),50,40,20,4.96
1087,Coriander seeds,90,20,20,6.46
1088,Mustard seeds,100,30,15,6.46
1089,sesame seed,30,15,30,6.46
1090,Cumin seeds,90,60,20,6.46
1091,Lentils(Masoor Dal),20,60,20,5.46
1092,Brinjal,80,15,40,6.46
1093,Beetroot,120,50,100,5.46
1094,Bitter Gourd,60,10,20,6.46
1095,Bottle Gourd,100,50,50,6.46
1096,Capsicum,100,20,60,6.46
1097,Cabbage,100,65,70,6.46
1098,Carrot,40,45,60,5.46
1099,Cauliflower,80,70,50,6.46
1100,Cucumber,60,60,85,6.46
1101,Coriander leaves,10,20,20,6.46
1102,Curry leaves,20,20,20,6.46
1103,Drumstick – moringa,40,20,10,6.46
1104,Chili,120,20,80,6.46
1105,Lady Finger,80,10,40,6.46
1106,Mushroom,100,50,60,6.46
1107,Onion,120,60,65,5.96
1108,Potato,180,60,90,4.96
1109,Pumpkin,80,50,30,5.46
1110,Radish,25,100,50,5.96
1111,Olive,100,60,30,6.46
1112,Sweet Potato,90,20,120,4.96
1113,Fenugreek Leaf(methi),30,25,40,5.96
1114,Spinach,60,60,50,5.96
1115,Ridgegourd,90,50,20,6.46
1116,Gooseberry(Amla),20,50,20,4.46
1117,Jambun(Syzygium cumini),10,10,10,4.16
1118,Ziziphus mauritiana(Bor),20,10,10,5.96
1119,Garcinia indica(kokam),40,25,50,4.16
1120,Tamarind,20,15,25,3.06
1121,Tapioca(Suran),50,50,50,5.46
1122,Garlic,50,10,60,5.46
1123,Lemon,20,10,10,3.06
1124,Tomato,100,40,90,5.96
1125,Ash Gourd,60,10,30,5.46
1126,Pineapple,160,40,120,6.46
1127,Pomegranate,20,10,40,5.46
1128,Banana,100,75,50,6.46
1129,Mango,20,20,30,4.96
1130,Grapes,20,125,200,3.96
1131,Jackfruit,75,40,50,4.96
1132,Guava,50,50,50,4.96
1133,Water Melon,100,10,50,5.46
1134,Musk Melon,100,10,50,5.46
1135,Apricot,40,50,25,6.46
1136,Apple,20,125,200,6.46
1137,Chickoo,40,30,60,4.96
1138,Custard apple,40,20,40,6.46
1139,Dates,40,125,20,6.46
1140,Figs,20,60,20,4.96
1141,Orange,20,10,10,3.96
1142,Papaya,50,50,50,5.96
1143,Aniseed,100,50,20,4.96
1144,Asafoetida,90,40,20,4.96
1145,Bay Leaf,100,50,25,4.96
1146,Black Pepper,100,60,50,4.96
1147,Cardamom,75,75,150,4.96
1148,Cinnamon,20,20,25,4.96
1149,Cloves,20,20,60,4.96
1150,Jaiphal(Nutmeg),20,20,60,4.96
1151,Ginger,40,50,20,4.96
1152,Turmeric,25,60,100,4.96
1153,Cashewnuts,70,40,60,5.96
1154,Raisins,60,30,30,5.96
1155,Coconut,20,10,30,4.96
1156,Almond Nut,70,20,10,5.96
1157,Arecanut,100,40,140,5.96
1158,Pistachio Nut,90,20,20,5.96
1159,Lemon Grass,25,40,40,5.46
1160,Cotton,120,40,20,5.46
1161,Jute,80,40,40,5.46
1162,Coffee,100,20,30,5.46
1163,Sunflower,50,60,30,5.46
1164,Rice,80,40,40,5.44
1165,Jowar(Sorghum),80,40,40,5.44
1166,Barley(JAV),70,40,45,5.44
1167,Maize,80,40,20,5.44
1168,Ragi( naachnnii),50,40,20,5.44
1169,Chickpeas(Channa),40,60,80,5.44
1170,French Beans(Farasbi),90,125,60,4.94
1171,Fava beans (Papdi - Val),90,125,60,4.94
1172,Lima beans(Pavta),40,60,20,4.94
1173,Cluster Beans(Gavar),25,50,25,4.94
1174,Soyabean,20,60,20,5.44
1175,Black eyed beans( chawli),20,60,20,5.44
1176,Kidney beans,20,60,20,5.44
1177,pigeon peas(Toor Dal),20,60,20,5.44
1178,Moth bean(Matki),20,40,20,5.44
1179,Mung beans,20,40,20,5.44
1180,Green Peas,40,35,55,5.94
1181,Horse Gram(kulthi),20,60,20,5.94
1182,Black Gram,40,60,20,4.94
1183,Rapeseed (Mohri),50,40,20,4.94
1184,Coriander seeds,90,20,20,6.44
1185,Mustard seeds,100,30,15,6.44
1186,sesame seed,30,15,30,6.44
1187,Cumin seeds,90,60,20,6.44
1188,Lentils(Masoor Dal),20,60,20,5.44
1189,Brinjal,80,15,40,6.44
1190,Beetroot,120,50,100,5.44
1191,Bitter Gourd,60,10,20,6.44
1192,Bottle Gourd,100,50,50,6.44
1193,Capsicum,100,20,60,6.44
1194,Cabbage,100,65,70,6.44
1195,Carrot,40,45,60,5.44
1196,Cauliflower,80,70,50,6.44
1197,Cucumber,60,60,85,6.44
1198,Coriander leaves,10,20,20,6.44
1199,Curry leaves,20,20,20,6.44
1200,Drumstick – moringa,40,20,10,6.44
1201,Chili,120,20,80,6.44
1202,Lady Finger,80,10,40,6.44
1203,Mushroom,100,50,60,6.44
1204,Onion,120,60,65,5.94
1205,Potato,180,60,90,4.94
1206,Pumpkin,80,50,30,5.44
1207,Radish,25,100,50,5.94
1208,Olive,100,60,30,6.44
1209,Sweet Potato,90,20,120,4.94
1210,Fenugreek Leaf(methi),30,25,40,5.94
1211,Spinach,60,60,50,5.94
1212,Ridgegourd,90,50,20,6.44
1213,Gooseberry(Amla),20,50,20,4.44
1214,Jambun(Syzygium cumini),10,10,10,4.1400000000000015
1215,Ziziphus mauritiana(Bor),20,10,10,5.94
1216,Garcinia indica(kokam),40,25,50,4.1400000000000015
1217,Tamarind,20,15,25,3.04
1218,Tapioca(Suran),50,50,50,5.44
1219,Garlic,50,10,60,5.44
1220,Lemon,20,10,10,3.04
1221,Tomato,100,40,90,5.94
1222,Ash Gourd,60,10,30,5.44
1223,Pineapple,160,40,120,6.44
1224,Pomegranate,20,10,40,5.44
1225,Banana,100,75,50,6.44
1226,Mango,20,20,30,4.94
1227,Grapes,20,125,200,3.94
1228,Jackfruit,75,40,50,4.94
1229,Guava,50,50,50,4.94
1230,Water Melon,100,10,50,5.44
1231,Musk Melon,100,10,50,5.44
1232,Apricot,40,50,25,6.44
1233,Apple,20,125,200,6.44
1234,Chickoo,40,30,60,4.94
1235,Custard apple,40,20,40,6.44
1236,Dates,40,125,20,6.44
1237,Figs,20,60,20,4.94
1238,Orange,20,10,10,3.94
1239,Papaya,50,50,50,5.94
1240,Aniseed,100,50,20,4.94
1241,Asafoetida,90,40,20,4.94
1242,Bay Leaf,100,50,25,4.94
1243,Black Pepper,100,60,50,4.94
1244,Cardamom,75,75,150,4.94
1245,Cinnamon,20,20,25,4.94
1246,Cloves,20,20,60,4.94
1247,Jaiphal(Nutmeg),20,20,60,4.94
1248,Ginger,40,50,20,4.94
1249,Turmeric,25,60,100,4.94
1250,Cashewnuts,70,40,60,5.94
1251,Raisins,60,30,30,5.94
1252,Coconut,20,10,30,4.94
1253,Almond Nut,70,20,10,5.94
1254,Arecanut,100,40,140,5.94
1255,Pistachio Nut,90,20,20,5.94
1256,Lemon Grass,25,40,40,5.44
1257,Cotton,120,40,20,5.44
1258,Jute,80,40,40,5.44
1259,Coffee,100,20,30,5.44
1260,Sunflower,50,60,30,5.44
1261,Rice,80,40,40,5.42
1262,Jowar(Sorghum),80,40,40,5.42
1263,Barley(JAV),70,40,45,5.42
1264,Maize,80,40,20,5.42
1265,Ragi( naachnnii),50,40,20,5.42
1266,Chickpeas(Channa),40,60,80,5.42
1267,French Beans(Farasbi),90,125,60,4.92
1268,Fava beans (Papdi - Val),90,125,60,4.92
1269,Lima beans(Pavta),40,60,20,4.92
1270,Cluster Beans(Gavar),25,50,25,4.92
1271,Soyabean,20,60,20,5.42
1272,Black eyed beans( chawli),20,60,20,5.42
1273,Kidney beans,20,60,20,5.42
1274,pigeon peas(Toor Dal),20,60,20,5.42
1275,Moth bean(Matki),20,40,20,5.42
1276,Mung beans,20,40,20,5.42
1277,Green Peas,40,35,55,5.92
1278,Horse Gram(kulthi),20,60,20,5.92
1279,Black Gram,40,60,20,4.92
1280,Rapeseed (Mohri),50,40,20,4.92
1281,Coriander seeds,90,20,20,6.42
1282,Mustard seeds,100,30,15,6.42
1283,sesame seed,30,15,30,6.42
1284,Cumin seeds,90,60,20,6.42
1285,Lentils(Masoor Dal),20,60,20,5.42
1286,Brinjal,80,15,40,6.42
1287,Beetroot,120,50,100,5.42
1288,Bitter Gourd,60,10,20,6.42
1289,Bottle Gourd,100,50,50,6.42
1290,Capsicum,100,20,60,6.42
1291,Cabbage,100,65,70,6.42
1292,Carrot,40,45,60,5.42
1293,Cauliflower,80,70,50,6.42
1294,Cucumber,60,60,85,6.42
1295,Coriander leaves,10,20,20,6.42
1296,Curry leaves,20,20,20,6.42
1297,Drumstick – moringa,40,20,10,6.42
1298,Chili,120,20,80,6.42
1299,Lady Finger,80,10,40,6.42
1300,Mushroom,100,50,60,6.42
1301,Onion,120,60,65,5.92
1302,Potato,180,60,90,4.92
1303,Pumpkin,80,50,30,5.42
1304,Radish,25,100,50,5.92
1305,Olive,100,60,30,6.42
1306,Sweet Potato,90,20,120,4.92
1307,Fenugreek Leaf(methi),30,25,40,5.92
1308,Spinach,60,60,50,5.92
1309,Ridgegourd,90,50,20,6.42
1310,Gooseberry(Amla),20,50,20,4.42
1311,Jambun(Syzygium cumini),10,10,10,4.12
1312,Ziziphus mauritiana(Bor),20,10,10,5.92
1313,Garcinia indica(kokam),40,25,50,4.12
1314,Tamarind,20,15,25,3.02
1315,Tapioca(Suran),50,50,50,5.42
1316,Garlic,50,10,60,5.42
1317,Lemon,20,10,10,3.02
1318,Tomato,100,40,90,5.92
1319,Ash Gourd,60,10,30,5.42
1320,Pineapple,160,40,120,6.42
1321,Pomegranate,20,10,40,5.42
1322,Banana,100,75,50,6.42
1323,Mango,20,20,30,4.92
1324,Grapes,20,125,200,3.92
1325,Jackfruit,75,40,50,4.92
1326,Guava,50,50,50,4.92
1327,Water Melon,100,10,50,5.42
1328,Musk Melon,100,10,50,5.42
1329,Apricot,40,50,25,6.42
1330,Apple,20,125,200,6.42
1331,Chickoo,40,30,60,4.92
1332,Custard apple,40,20,40,6.42
1333,Dates,40,125,20,6.42
1334,Figs,20,60,20,4.92
1335,Orange,20,10,10,3.92
1336,Papaya,50,50,50,5.92
1337,Aniseed,100,50,20,4.92
1338,Asafoetida,90,40,20,4.92
1339,Bay Leaf,100,50,25,4.92
1340,Black Pepper,100,60,50,4.92
1341,Cardamom,75,75,150,4.92
1342,Cinnamon,20,20,25,4.92
1343,Cloves,20,20,60,4.92
1344,Jaiphal(Nutmeg),20,20,60,4.92
1345,Ginger,40,50,20,4.92
1346,Turmeric,25,60,100,4.92
1347,Cashewnuts,70,40,60,5.92
1348,Raisins,60,30,30,5.92
1349,Coconut,20,10,30,4.92
1350,Almond Nut,70,20,10,5.92
1351,Arecanut,100,40,140,5.92
1352,Pistachio Nut,90,20,20,5.92
1353,Lemon Grass,25,40,40,5.42
1354,Cotton,120,40,20,5.42
1355,Jute,80,40,40,5.42
1356,Coffee,100,20,30,5.42
1357,Sunflower,50,60,30,5.42
1358,Rice,80,40,40,5.4
1359,Jowar(Sorghum),80,40,40,5.4
1360,Barley(JAV),70,40,45,5.4
1361,Maize,80,40,20,5.4
1362,Ragi( naachnnii),50,40,20,5.4
1363,Chickpeas(Channa),40,60,80,5.4
1364,French Beans(Farasbi),90,125,60,4.9
1365,Fava beans (Papdi - Val),90,125,60,4.9
1366,Lima beans(Pavta),40,60,20,4.9
1367,Cluster Beans(Gavar),25,50,25,4.9
1368,Soyabean,20,60,20,5.4
1369,Black eyed beans( chawli),20,60,20,5.4
1370,Kidney beans,20,60,20,5.4
1371,pigeon peas(Toor Dal),20,60,20,5.4
1372,Moth bean(Matki),20,40,20,5.4
1373,Mung beans,20,40,20,5.4
1374,Green Peas,40,35,55,5.9
1375,Horse Gram(kulthi),20,60,20,5.9
1376,Black Gram,40,60,20,4.9
1377,Rapeseed (Mohri),50,40,20,4.9
1378,Coriander seeds,90,20,20,6.4
1379,Mustard seeds,100,30,15,6.4
1380,sesame seed,30,15,30,6.4
1381,Cumin seeds,90,60,20,6.4
1382,Lentils(Masoor Dal),20,60,20,5.4
1383,Brinjal,80,15,40,6.4
1384,Beetroot,120,50,100,5.4
1385,Bitter Gourd,60,10,20,6.4
1386,Bottle Gourd,100,50,50,6.4
1387,Capsicum,100,20,60,6.4
1388,Cabbage,100,65,70,6.4
1389,Carrot,40,45,60,5.4
1390,Cauliflower,80,70,50,6.4
1391,Cucumber,60,60,85,6.4
1392,Coriander leaves,10,20,20,6.4
1393,Curry leaves,20,20,20,6.4
1394,Drumstick – moringa,40,20,10,6.4
1395,Chili,120,20,80,6.4
1396,Lady Finger,80,10,40,6.4
1397,Mushroom,100,50,60,6.4
1398,Onion,120,60,65,5.9
1399,Potato,180,60,90,4.9
1400,Pumpkin,80,50,30,5.4
1401,Radish,25,100,50,5.9
1402,Olive,100,60,30,6.4
1403,Sweet Potato,90,20,120,4.9
1404,Fenugreek Leaf(methi),30,25,40,5.9
1405,Spinach,60,60,50,5.9
1406,Ridgegourd,90,50,20,6.4
1407,Gooseberry(Amla),20,50,20,4.4
1408,Jambun(Syzygium cumini),10,10,10,4.1000000000000005
1409,Ziziphus mauritiana(Bor),20,10,10,5.9
1410,Garcinia indica(kokam),40,25,50,4.1000000000000005
1411,Tamarind,20,15,25,3.0
1412,Tapioca(Suran),50,50,50,5.4
1413,Garlic,50,10,60,5.4
1414,Lemon,20,10,10,3.0
1415,Tomato,100,40,90,5.9
1416,Ash Gourd,60,10,30,5.4
1417,Pineapple,160,40,120,6.4
1418,Pomegranate,20,10,40,5.4
1419,Banana,100,75,50,6.4
